Ecovegetation Zones,Localities,Abundance,Anopheles
Freshwater Swamp,Oghobaye-Ologbo,0,An. gambiae s.s.
Freshwater Swamp,Evboesi,0,An. gambiae s.s.
Freshwater Swamp,Uholor,4,An. gambiae s.s.
Lowland Forest,Idunmwungha,2,An. gambiae s.s.
Derived Savanna,Sabongida Ora,1,An. gambiae s.s.
Derived Savanna,Agenebode,2,An. gambiae s.s.
Freshwater Swamp,Rubber Factory-Ologbo,1,An. gambiae s.s.
Freshwater Swamp,Obanakhoro,1,An. gambiae s.s.
Freshwater Swamp,Utagban,15,An. gambiae s.s.
Lowland Forest,Urhokosa,9,An. gambiae s.s.
Derived Savanna,Iloje-Okpuje,4,An. gambiae s.s.
Derived Savanna,Iviukwe,2,An. gambiae s.s.
Freshwater Swamp,Ogheghe,5,An. gambiae s.s.
Freshwater Swamp,Orogho,3,An. gambiae s.s.
Lowland Forest,Ikpema,0,An. gambiae s.s.
Lowland Forest,Ugonoba,1,An. gambiae s.s.
Derived Savanna,Eruere,1,An. gambiae s.s.
Derived Savanna,Iviarri,1,An. gambiae s.s.
Freshwater Swamp,Utesi,1,An. gambiae s.s.
Freshwater Swamp,Igwelaba,0,An. gambiae s.s.
Lowland Forest,New Benin,0,An. gambiae s.s.
Lowland Forest,Ikhueniro,0,An. gambiae s.s.
Derived Savanna,Uzebba,1,An. gambiae s.s.
Derived Savanna,Ekwotsor,1,An. gambiae s.s.
Freshwater Swamp,Oghobaye-Ologbo,3,An. leesoni
Freshwater Swamp,Evboesi,0,An. leesoni
Freshwater Swamp,Uholor,5,An. leesoni
Lowland Forest,Idunmwungha,1,An. leesoni
Derived Savanna,Sabongida Ora,0,An. leesoni
Derived Savanna,Agenebode,11,An. leesoni
Freshwater Swamp,Rubber Factory-Ologbo,2,An. leesoni
Freshwater Swamp,Obanakhoro,0,An. leesoni
Freshwater Swamp,Utagban,8,An. leesoni
Lowland Forest,Urhokosa,0,An. leesoni
Derived Savanna,Iloje-Okpuje,3,An. leesoni
Derived Savanna,Iviukwe,1,An. leesoni
Freshwater Swamp,Ogheghe,6,An. leesoni
Freshwater Swamp,Orogho,2,An. leesoni
Lowland Forest,Ikpema,0,An. leesoni
Lowland Forest,Ugonoba,0,An. leesoni
Derived Savanna,Eruere,0,An. leesoni
Derived Savanna,Iviarri,1,An. leesoni
Freshwater Swamp,Utesi,0,An. leesoni
Freshwater Swamp,Igwelaba,0,An. leesoni
Lowland Forest,New Benin,0,An. leesoni
Lowland Forest,Ikhueniro,0,An. leesoni
Derived Savanna,Uzebba,0,An. leesoni
Derived Savanna,Ekwotsor,0,An. leesoni
