Ecozones,Location,Habitat,pH,Colour,Turbidity,TDS,Suspended Solid,Total Solid,Conductivity,Chloride,Alkalinity,Hardness as CaCO3,Phosphate,Sulphate,Nitrate,DO,BOD,Calcium,Magnesium,Anopheles,Cules,Aedes,Depth,,,,,
Freshwater Swamp,Evboesi,Tyre track,6.1,4570,746,42.4,325,367.4,80,56.48,40,30,3.52,178,40.84,2.4,6.6,12.82,6.8,17,0,0,7,,,,,
Freshwater Swamp,Ogheghe,Tyre track,7.9,8400,681,201.4,1887,2088.4,380,70.6,200,180,9.45,320,18.95,3,43.6,32.1,24.31,2,0,0,5.1,,,,,
Freshwater Swamp,Rubber Factory,Tyre track,8.3,5500,1710,53,1005,1058,100,28.24,82,76,7.54,30,10.53,7.9,5.7,24.85,3.4,1,0,0,4.9,,,,,
Freshwater Swamp,Utagban,Tyre track,6.3,843,615,127.2,371,498.2,240,21.18,76,106,0.51,41,14.5,1.5,3.3,13.63,17.5,5,0,0,3.8,,,,,
Lowland Rainforest,Idunmwungha,Tyre track,7.9,1454,527,106,292,398,200,21.18,38,190,4.21,30,50.9,4.3,3.5,60.12,1.95,9,0,0,8.5,,,,,
Freshwater Swamp,Oghobaye,Used Tyres,6.8,250,68,58.3,48,106.3,110,14.12,20,34,1.92,57,5.51,5,15.3,10.42,1.95,4,4,0,7,,,,,
Freshwater Swamp,Evboesi,Used Tyres,6.9,1100,60,95.4,271,366.4,180,35.3,42,42,2.12,37,20.76,4.8,1.3,8.82,4.86,0,17,0,6.8,,,,,
Freshwater Swamp,Uholor,Used Tyres,6.1,119,31,58.3,21,79.3,110,21.18,40,68,3.41,27,10.93,2.3,1.1,22.44,2.92,0,55,2,4.5,,,,,
Freshwater Swamp,Ogheghe,Used Tyres,7.6,112,14,63.6,12,75.6,120,7.06,110,102,0.325,40,2.39,7.2,4.6,38.48,1.46,0,0,3,7.5,,,,,
Freshwater Swamp,Utagban,Used Tyres,5.7,415,116,58.3,80,138.3,110,14.12,20,18,0.81,18,4.33,5.6,3.7,5.61,0.97,0,13,6,6.1,,,,,
Freshwater Swamp,Obanakhoro,Used Tyres,5.3,173,23,42.4,18,60.4,80,14.12,28,28,0.94,9,1,4.1,3.1,8.82,1.46,0,25,38,7.6,,,,,
